name,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,days_since_last_review,price_bin,price_per_day,is_premium,price_log
"Romantic, stylish B&B houseboat in canal district",97647,Centrum-West,52.38761,4.89188,Private Room,132.0,3,302,2025-06-11,1.85,1,53,28,21.0,$101 -200,2.4444444444444446,False,4.890349128221754
Comfortable double room,124245,Centrum-West,52.36775,4.89092,Private Room,78.0,2,710,2025-06-16,3.93,2,130,93,16.0,$51-100,0.5954198473282443,False,4.3694478524670215
Comfortable single / double room,124245,Centrum-Oost,52.36584,4.89111,Private Room,70.0,2,822,2025-06-14,4.74,2,121,86,18.0,$51-100,0.5737704918032787,False,4.2626798770413155
Quiet 2-bedroom Amsterdam city centre apartment,194779,Centrum-Oost,52.37168,4.91471,Entire Home,223.0,3,42,2022-08-20,0.23,1,0,0,1047.0,$201-500,223.0,False,5.4116460518550396
Charming apartment in old centre,211696,De Baarsjes - Oud-West,52.36786,4.87458,Entire Home,120.0,2,203,2025-05-29,1.13,1,66,5,34.0,$101 -200,1.791044776119403,False,4.795790545596741
Cozy family home in Amsterdam South,220434,Buitenveldert - Zuidas,52.32780776,4.876800057,Entire Home,223.0,3,5,2024-04-28,0.21,1,0,0,430.0,$201-500,223.0,False,5.4116460518550396
Multatuli Luxury Guest Suite in top location,225987,Centrum-West,52.38028,4.89089,Entire Home,284.0,3,599,2025-06-13,3.36,1,216,56,19.0,$201-500,1.3087557603686637,False,5.652489180268651
Central de Lux 2 bedrooms (4p) apt 125 sqm,230246,Centrum-Oost,52.37118,4.93146,Entire Home,457.0,3,173,2025-05-26,0.97,1,338,10,37.0,$201-500,1.3480825958702065,True,6.126869184114185
"Family Home (No drugs, smoking or parties)",231864,Bos en Lommer,52.37559,4.83857,Entire Home,198.0,7,18,2025-02-19,0.13,1,191,4,133.0,$101 -200,1.03125,False,5.293304824724492
B & B de 9 Straatjes (city center),231946,Centrum-West,52.36811,4.88262,Entire Home,139.0,2,543,2025-05-31,3.09,1,213,75,32.0,$101 -200,0.6495327102803738,False,4.941642422609304
Amsterdam Stylish Lakeview Apartment,252245,IJburg - Zeeburgereiland,52.35559,5.0032,Entire Home,223.0,1,12,2024-05-25,0.15,1,0,0,403.0,$201-500,223.0,False,5.4116460518550396
Bright Loft in Centre Amsterdam,263233,Centrum-Oost,52.358112,4.897637,Entire Home,223.0,11,69,2025-05-13,0.39,1,0,1,50.0,$201-500,223.0,False,5.4116460518550396
Apartment near Museumplein (centre),264178,Zuid,52.35597,4.88512,Entire Home,223.0,3,96,2023-08-07,0.55,1,0,0,695.0,$201-500,223.0,False,5.4116460518550396
"Charming, beautifully & sunny place",301340,Oud-Oost,52.36431,4.93122,Entire Home,200.0,30,38,2024-03-31,0.22,1,83,0,458.0,$101 -200,2.380952380952381,False,5.303304908059076
TOP LOCATED Canalhouse B&B Jordaan,436145,Centrum-West,52.37828,4.8944,Private Room,223.0,3,241,2022-12-31,1.39,4,0,0,914.0,$201-500,223.0,False,5.4116460518550396
"Privat room and shared Houseboat ""Ramona"" centre",494281,De Pijp - Rivierenbuurt,52.35774,4.89647,Private Room,223.0,1,297,2025-06-08,1.76,1,77,68,24.0,$201-500,2.858974358974359,False,5.4116460518550396
Beautiful and spacious room,195859,Slotervaart,52.34801,4.83639,Private Room,59.0,2,405,2025-05-31,2.39,2,298,53,32.0,$51-100,0.19732441471571907,False,4.0943445622221
Charming Historic House with Garden in De Pijp,670266,De Pijp - Rivierenbuurt,52.35178,4.90699,Entire Home,407.0,2,111,2025-06-08,0.68,1,62,6,24.0,$201-500,6.4603174603174605,True,6.0112671744041615
Apartment 2 minutes from Centrum!,748161,Oud-Oost,52.3642,4.92829,Entire Home,223.0,3,21,2019-08-20,0.13,1,0,0,2143.0,$201-500,223.0,False,5.4116460518550396
"Typical Dutch house, quiet area, close to centre",761321,Noord-Oost,52.39364,4.94538,Entire Home,279.0,3,17,2024-08-17,0.1,1,128,3,319.0,$201-500,2.1627906976744184,False,5.634789603169249
"SUPERLOCATED Room in  CANALHOUSE, Private bath",436145,Centrum-West,52.37956,4.89359,Private Room,223.0,3,278,2022-12-29,1.66,4,0,0,916.0,$201-500,223.0,False,5.4116460518550396
Spacious apartment next to center,815989,De Baarsjes - Oud-West,52.36768,4.86646,Entire Home,223.0,3,103,2018-11-28,0.61,1,0,0,2408.0,$201-500,223.0,False,5.4116460518550396
Authentic Amsterdam Apartment RAI,856540,De Pijp - Rivierenbuurt,52.34332,4.89484,Entire Home,265.0,7,36,2024-09-25,0.21,2,153,2,280.0,$201-500,1.7207792207792207,False,5.583496308781699
"Cozy, Central Room in Amsterdam",907405,De Baarsjes - Oud-West,52.3683,4.85446,Private Room,63.0,3,469,2025-06-08,2.79,1,82,47,24.0,$51-100,0.7590361445783133,False,4.1588830833596715
Metropolitan B&B centre Amsterdam,915591,Centrum-West,52.37548,4.89398,Entire Home,248.0,2,414,2025-06-08,2.47,1,249,52,24.0,$201-500,0.992,False,5.517452896464707
Lovely light appartment with garden,922787,Zuid,52.35222,4.84789,Entire Home,203.0,4,14,2024-07-07,0.09,1,9,1,360.0,$201-500,20.3,False,5.318119993844216
Private Loft&Bathroom  Ensuite Studio Ctr Amsterda,935742,Centrum-Oost,52.36057,4.89671,Private Room,158.0,3,731,2025-06-15,4.36,1,108,33,17.0,$101 -200,1.4495412844036697,False,5.0689042022202315
Spacious home w roof garden,887591,De Baarsjes - Oud-West,52.36698,4.86622,Entire Home,223.0,4,23,2024-08-06,0.14,1,0,1,330.0,$201-500,223.0,False,5.4116460518550396
Spacious apartment in De Pijp,1100324,De Pijp - Rivierenbuurt,52.3515,4.89656,Entire Home,223.0,4,23,2023-06-17,0.14,1,0,0,746.0,$201-500,223.0,False,5.4116460518550396
LUXURIOUS GUESTHOUSE in CITY CENTER,1107389,Centrum-West,52.37169,4.89446,Private Room,223.0,3,169,2022-06-26,1.02,1,0,0,1102.0,$201-500,223.0,False,5.4116460518550396
Studio Apartment Center/Jordaan,305025,Centrum-West,52.37696,4.87891,Entire Home,237.0,2,20,2024-07-08,0.12,1,89,1,359.0,$201-500,2.6333333333333333,False,5.472270673671475
Suite in Canalhouse in the heart of the center,1135329,Centrum-West,52.36883,4.88749,Private Room,267.0,2,16,2022-10-23,0.1,1,124,0,983.0,$201-500,2.136,False,5.5909869805108565
Sonnenberg - Canal side & view - Private & Central,1005087,Centrum-West,52.36897659,4.88712883,Entire Home,687.0,2,265,2025-06-05,1.66,1,247,41,27.0,$500+,2.7701612903225805,True,6.5337888379333435
"Bellavista, central,with canal view",1298735,De Baarsjes - Oud-West,52.36707,4.87348,Private Room,116.0,2,548,2025-06-02,3.31,1,22,64,30.0,$101 -200,5.043478260869565,False,4.762173934797756
Amazing 200 m2 apartment historical centre,1322517,Centrum-Oost,52.36936,4.90963,Entire Home,223.0,4,27,2025-05-04,0.16,1,19,4,59.0,$201-500,11.15,False,5.4116460518550396
The Flying Pancake B&B Amsterdam,1334704,Centrum-Oost,52.36489868,4.909169197,Private Room,180.0,2,81,2019-12-16,0.66,1,294,0,2025.0,$101 -200,0.6101694915254238,False,5.198497031265826
Amazing apartment in city center,1337537,Centrum-West,52.37122,4.88211,Entire Home,223.0,2,63,2022-10-14,0.43,1,0,0,992.0,$201-500,223.0,False,5.4116460518550396
Stylish apartment with free carpark,1344947,De Pijp - Rivierenbuurt,52.34416,4.88709,Private Room,179.0,2,256,2025-06-13,1.6,1,285,43,19.0,$101 -200,0.6258741258741258,False,5.19295685089021
Beautifully renovated family apartment,1350388,De Baarsjes - Oud-West,52.35861,4.86023,Entire Home,450.0,5,9,2024-08-02,0.06,1,6,1,334.0,$201-500,64.28571428571429,True,6.111467339502679
Charming Studio with Roof Terrace,1376607,Zuid,52.35695,4.85234,Private Room,223.0,3,113,2019-10-07,0.7,1,0,0,2095.0,$201-500,223.0,False,5.4116460518550396
Beautiful central & quiet apartment,1436134,Centrum-West,52.36563,4.88454,Entire Home,223.0,4,44,2023-11-09,0.28,1,0,0,601.0,$201-500,223.0,False,5.4116460518550396
5-bedrooms house; central location; free parking,1451657,Zuid,52.35435,4.87316,Entire Home,1036.0,2,129,2024-06-24,0.8,1,270,1,373.0,$500+,3.822878228782288,True,6.9440872082295275
"Centre, canal view with private bathroom",1491565,Centrum-West,52.37561,4.9,Private Room,188.0,3,408,2025-06-09,2.51,2,207,32,23.0,$101 -200,0.9038461538461539,False,5.241747015059643
"Central, big window, rear room with private bath.",1491565,Centrum-West,52.37561,4.9,Private Room,223.0,3,487,2025-03-21,3.0,2,233,33,103.0,$201-500,0.9529914529914529,False,5.4116460518550396
Cozy & large bohemian style room,1511330,Oud-Oost,52.35179,4.91082,Private Room,132.0,3,281,2025-06-08,1.71,1,319,20,24.0,$101 -200,0.4125,False,4.890349128221754
"Private, quiet studio in the centre with terrace",276068,Centrum-West,52.37239,4.89657,Entire Home,169.0,2,363,2025-05-31,2.25,1,247,51,32.0,$101 -200,0.6814516129032258,False,5.135798437050262
"SunShine, A Sunny Amsterdam Center Special",1141485,Centrum-Oost,52.35931,4.89844,Entire Home,200.0,4,32,2023-04-01,0.21,3,0,0,823.0,$101 -200,200.0,False,5.303304908059076
Historical sailing ship Monnickendam and Amsterdam,1582128,Westerpark,52.39185,4.8869,Entire Home,854.0,2,103,2024-05-12,0.66,2,285,0,416.0,$500+,2.986013986013986,True,6.75110146893676
"SunBird, Sunny Apt in Quiet Street",1141485,Centrum-Oost,52.35871,4.89616,Entire Home,133.0,3,6,2023-03-27,0.04,3,0,0,828.0,$101 -200,133.0,False,4.897839799950911
"SunFlower, A Sunny B&B",1141485,Centrum-Oost,52.35972,4.8975,Private Room,223.0,3,36,2023-02-28,0.26,3,0,0,855.0,$201-500,223.0,False,5.4116460518550396
*historic centre* *bright* *canal view* *Jordaan*,1600010,Centrum-West,52.37104,4.87713,Entire Home,325.0,5,98,2025-05-11,0.61,1,340,6,52.0,$201-500,0.9530791788856305,False,5.786897381366708
beautiful designed ap.+bikes+garden+boat!,1672823,De Pijp - Rivierenbuurt,52.35625,4.89323,Private Room,248.0,3,762,2025-06-16,4.72,1,59,95,16.0,$201-500,4.133333333333334,False,5.517452896464707
great family house only suitable for fam with kids,1687595,De Baarsjes - Oud-West,52.3606,4.85739,Entire Home,223.0,2,35,2025-01-02,0.25,1,0,5,181.0,$201-500,223.0,False,5.4116460518550396
Amstel Nest - an urban retreat for two,1740785,Oud-Oost,52.35715,4.90926,Private Room,136.0,5,579,2025-05-30,3.62,1,278,43,33.0,$101 -200,0.4874551971326165,False,4.919980925828125
★ STYLISH FAMILY HOME - CITY CENTER,1811745,De Baarsjes - Oud-West,52.36348,4.87648,Entire Home,245.0,3,138,2025-05-25,0.86,1,15,4,38.0,$201-500,15.3125,False,5.5053315359323625
Sunny Roof Top in Beautiful Area,1817922,Centrum-Oost,52.36427,4.91063,Entire Home,284.0,2,112,2025-01-04,0.7,1,178,5,179.0,$201-500,1.5865921787709498,False,5.652489180268651
Private apartment@ city centre & canal view,1849988,Centrum-Oost,52.36737755,4.896707134,Private Room,200.0,3,557,2025-06-10,3.47,1,146,36,22.0,$101 -200,1.3605442176870748,False,5.303304908059076
"IN HISTORIC CENTRE, NEXT TO AMSTEL, PEACEFUL HOME",1853421,Centrum-Oost,52.36263,4.90216,Entire Home,299.0,5,23,2025-04-26,0.19,1,346,4,67.0,$201-500,0.861671469740634,False,5.703782474656201
Private Studio Houseboat *BEST VIEW* @Amstel,1907015,De Pijp - Rivierenbuurt,52.35464777,4.906100814,Private Room,190.0,3,94,2023-10-29,0.59,1,130,0,612.0,$101 -200,1.450381679389313,False,5.25227342804663
Unforgettable time on a houseboat,1920154,Centrum-Oost,52.36411338,4.906906356,Entire Home,580.0,3,141,2024-09-01,0.93,1,34,8,304.0,$500+,16.571428571428573,True,6.364750756851911
"Charming house, perfect for two!",2063261,Zuid,52.35043,4.84676,Entire Home,150.0,4,13,2025-04-20,0.11,1,43,4,73.0,$101 -200,3.409090909090909,False,5.017279836814924
Sunny Amsterdam East Harbor View,1336633,Oostelijk Havengebied - Indische Buurt,52.36905,4.93528,Entire Home,123.0,2,91,2025-06-10,0.57,1,161,7,22.0,$101 -200,0.7592592592592593,False,4.820281565605037
Cozy canal-view apartment in the center,2144360,Centrum-Oost,52.36096191,4.888226032,Entire Home,241.0,2,28,2024-09-16,0.18,1,60,1,289.0,$201-500,3.9508196721311477,False,5.488937726156687
Charming houseboat near Olympic St.,2191136,Zuid,52.341621,4.849049,Entire Home,170.0,3,138,2025-06-01,0.87,1,1,6,31.0,$101 -200,85.0,False,5.14166355650266
Family house in centre of Amsterdam,2193861,Oostelijk Havengebied - Indische Buurt,52.37281,4.94303,Entire Home,157.0,4,43,2025-01-01,0.27,1,17,3,182.0,$101 -200,8.722222222222221,False,5.062595033026967
cosy room with private entrance,2202945,De Baarsjes - Oud-West,52.37001,4.85646,Private Room,60.0,3,583,2025-06-09,3.66,1,217,32,23.0,$51-100,0.27522935779816515,False,4.110873864173311
Houseboat 'Saturnus' Amsterdam,2238440,Centrum-Oost,52.37006,4.90081,Entire Home,355.0,3,323,2025-06-02,2.09,2,235,67,30.0,$201-500,1.5042372881355932,False,5.87493073085203
Central 17th Century Unique House,2297302,Centrum-West,52.3739,4.89263,Entire Home,223.0,5,50,2025-05-02,0.41,1,9,6,61.0,$201-500,22.3,False,5.4116460518550396
Spacious studio apartment in A'dam,2395278,Slotervaart,52.3509,4.83293,Private Room,223.0,2,34,2017-10-22,0.32,1,0,0,2810.0,$201-500,223.0,False,5.4116460518550396
Luxury design B&B in city centre,2453971,De Baarsjes - Oud-West,52.36385,4.87483,Private Room,250.0,1,28,2018-12-31,0.18,1,65,0,2375.0,$201-500,3.787878787878788,False,5.5254529391317835
"Quiet & spacious apt, near Museums & Concertgebouw",2483843,Zuid,52.3543,4.87701,Entire Home,223.0,5,11,2019-07-28,0.08,1,0,0,2166.0,$201-500,223.0,False,5.4116460518550396
"Amsterdam centrum, perfect familiehuis",1645998,Centrum-Oost,52.36412,4.88757,Entire Home,630.0,3,61,2023-05-10,0.4,1,2,0,784.0,$500+,210.0,True,6.447305862541213
Canal View Apartment! Jordaan Area,2501656,Centrum-West,52.37694,4.88003,Entire Home,500.0,2,62,2019-06-16,0.39,1,84,0,2208.0,$201-500,5.882352941176471,True,6.2166061010848646
Familyfriendly Suite incl breakfast,2536879,Noord-Oost,52.39675,4.99603,Entire Home,215.0,2,1,2019-03-10,0.01,1,296,0,2306.0,$201-500,0.7239057239057239,False,5.375278407684165
Unique and luxury houseboat,2540480,Centrum-Oost,52.35902,4.89606,Entire Home,210.0,3,318,2025-06-14,2.02,1,242,33,18.0,$201-500,0.8641975308641975,False,5.351858133476067
Apartment near centre with amazing view over city,2541099,Zuid,52.35022,4.8525,Entire Home,175.0,3,102,2025-06-01,0.64,1,54,5,31.0,$101 -200,3.1818181818181817,False,5.170483995038151
Bright Canal house with amazing view! @the Jordaan,2550339,Centrum-West,52.37827,4.88568,Entire Home,350.0,3,31,2025-05-30,0.2,1,167,3,33.0,$201-500,2.0833333333333335,False,5.860786223465865
Beautiful 2-storey appartment+roof terrace (135 m),2569931,Bos en Lommer,52.3774,4.851,Entire Home,225.0,9,29,2024-08-11,0.2,1,26,1,325.0,$201-500,8.333333333333334,False,5.420534999272286
Somewhere Else,2594559,Westerpark,52.39114,4.88846,Private Room,125.0,2,346,2025-06-08,3.27,1,262,44,24.0,$101 -200,0.4752851711026616,False,4.836281906951478
Connect-Inn: Oasis stress free condo,2597146,Slotervaart,52.35885,4.82476,Private Room,101.0,2,73,2025-05-15,0.47,2,4,3,48.0,$101 -200,20.2,False,4.624972813284271
Comfortable apartment perfect location,2639261,De Baarsjes - Oud-West,52.37275,4.86189,Entire Home,223.0,29,33,2022-05-21,0.29,1,0,0,1138.0,$201-500,223.0,False,5.4116460518550396
Beautiful ground floor apartment,356740,Watergraafsmeer,52.354,4.93965,Entire Home,223.0,5,57,2020-01-01,0.36,1,0,0,2009.0,$201-500,223.0,False,5.4116460518550396
Two-bedrooms Apartment with Garden in town,2699033,De Baarsjes - Oud-West,52.37126,4.86241,Entire Home,315.0,1,62,2024-08-16,0.51,1,18,3,320.0,$201-500,16.57894736842105,False,5.755742213586912
"B&B WestergasTverblijf , Cosy!",618589,Westerpark,52.38444,4.86916,Entire Home,69.0,2,162,2020-02-16,1.07,1,247,0,1963.0,$51-100,0.2782258064516129,False,4.248495242049359
"peaceful stay near city centre,  airport & forrest",2737834,Buitenveldert - Zuidas,52.33558,4.86878,Entire Home,125.0,3,28,2024-04-21,0.18,2,135,0,437.0,$101 -200,0.9191176470588235,False,4.836281906951478
Pretty apt in the center of A'dam,2797260,Centrum-Oost,52.37079,4.90153,Entire Home,223.0,3,108,2022-08-04,0.69,1,0,0,1063.0,$201-500,223.0,False,5.4116460518550396
Southern Comfort near Vondelpark,2439449,Zuid,52.34904,4.86765,Private Room,86.0,4,396,2025-06-13,2.52,1,133,9,19.0,$51-100,0.6417910447761194,False,4.465908118654584
Loft right in the city centre,2830952,Centrum-Oost,52.36112,4.89462,Entire Home,223.0,5,22,2025-01-03,0.17,1,0,1,180.0,$201-500,223.0,False,5.4116460518550396
Appartment in centre of Amsterdam.,2831228,Centrum-Oost,52.37213,4.90293,Entire Home,223.0,3,40,2024-07-26,0.26,1,0,1,341.0,$201-500,223.0,False,5.4116460518550396
Private Studio on Spectacular Houseboat,2851886,Westerpark,52.39144,4.88436,Private Room,138.0,2,638,2025-05-23,4.13,1,1,47,40.0,$101 -200,69.0,False,4.9344739331306915
GREAT Full family apartment with great park view,2865851,Slotervaart,52.36022,4.84346,Entire Home,143.0,3,12,2023-03-18,0.08,1,30,0,837.0,$101 -200,4.612903225806452,False,4.969813299576001
Spacious and well located,2868026,Oud-Noord,52.39442,4.91478,Entire Home,223.0,5,20,2024-07-21,0.13,1,8,1,346.0,$201-500,24.77777777777778,False,5.4116460518550396
Comfortable clean loft next to Vondelpark!,2878977,Zuid,52.35499,4.85384,Entire Home,223.0,3,22,2025-05-04,0.18,1,0,6,59.0,$201-500,223.0,False,5.4116460518550396
Large 3 bedroom apartment surrounde,1759884,Centrum-Oost,52.36918,4.91316,Entire Home,340.0,3,377,2025-05-31,2.99,2,225,49,32.0,$201-500,1.5044247787610618,False,5.831882477283517
Our Cozy Third floor Home,2912339,De Baarsjes - Oud-West,52.36809,4.85436,Entire Home,180.0,3,58,2025-05-12,0.38,1,302,4,51.0,$101 -200,0.594059405940594,False,5.198497031265826
amazing apartment in Amsterdam!!,2913467,Watergraafsmeer,52.35567,4.93175,Entire Home,223.0,7,8,2024-08-09,0.05,1,1,1,327.0,$201-500,111.5,False,5.4116460518550396
Beautiful large family garden house Vondelpark,2914846,Zuid,52.34788,4.8506,Entire Home,283.0,2,29,2024-07-16,0.18,1,36,1,351.0,$201-500,7.648648648648648,False,5.648974238161206
House at waterfront in Amsterdam + parking place,2580855,Bijlmer-Oost,52.32582,4.98403,Entire Home,318.0,1,72,2025-06-02,0.46,1,363,8,30.0,$201-500,0.8736263736263736,False,5.765191102784844
Modern Houseboat | Jordaan area | A unique stay!,3007402,Westerpark,52.37621,4.87075,Private Room,156.0,1,606,2025-06-16,4.12,1,319,83,16.0,$101 -200,0.4875,False,5.056245805348308
Sleep at Amy's B'n'B Front Room,3015785,Centrum-West,52.381996,4.888583,Private Room,124.0,1,982,2025-06-15,6.28,2,71,94,17.0,$101 -200,1.7222222222222223,False,4.8283137373023015
Your own cottage in the countryside,3040748,Noord-Oost,52.41016,4.96369,Private Room,80.0,2,415,2023-05-28,2.66,8,162,0,766.0,$51-100,0.49079754601226994,False,4.394449154672439
"Light, spacious apartment in cool Westerpark area",2782084,Westerpark,52.3884,4.87148,Entire Home,249.0,3,34,2024-10-21,0.22,1,80,2,254.0,$201-500,3.074074074074074,False,5.521460917862246
Beautiful and spacious apartment with big rooftop,2695123,De Baarsjes - Oud-West,52.36247,4.86534,Entire Home,223.0,3,35,2025-05-01,0.23,1,3,4,62.0,$201-500,55.75,False,5.4116460518550396
Sleep at Amy's B'n'B Garden Room,3015785,Centrum-West,52.381996,4.888583,Private Room,152.0,1,673,2025-06-16,4.3,2,75,57,16.0,$101 -200,2.0,False,5.030437921392435
"Houseboat near museums, the Pijp, two lovely cats",3113556,Zuid,52.35094,4.88552,Entire Home,223.0,7,16,2024-08-17,0.1,1,13,2,319.0,$201-500,15.928571428571429,False,5.4116460518550396
Harbour View Houseboat,2531171,Oostelijk Havengebied - Indische Buurt,52.37696,4.94073,Entire Home,223.0,2,21,2025-05-05,0.14,1,0,2,58.0,$201-500,223.0,False,5.4116460518550396
Cosy happy family appartment,3243217,De Pijp - Rivierenbuurt,52.34699973,4.891685357,Entire Home,166.0,4,6,2025-06-13,0.44,1,13,5,19.0,$101 -200,11.857142857142858,False,5.117993812416755
"A-location, ensuite bathroom, centre - Milkmaid -",3278419,Centrum-West,52.37167,4.8948,Hotel Room,148.0,1,1017,2025-06-13,6.55,2,210,88,19.0,$101 -200,0.7014218009478673,False,5.003946305945459
A-location ensuite bathroom centre 'Pearl Earring',3278419,Centrum-West,52.37098,4.89434,Hotel Room,150.0,1,923,2025-06-13,5.97,2,195,86,19.0,$101 -200,0.7653061224489796,False,5.017279836814924
Entire house / 4 floors art-filled family-friendly,3336575,Watergraafsmeer,52.3551,4.93262,Entire Home,395.0,4,42,2024-08-15,0.28,1,100,2,321.0,$201-500,3.910891089108911,True,5.981414211254481
Design Waterfront flat near station,1406783,Oud-Noord,52.38537,4.90241,Entire Home,87.0,30,62,2018-06-30,0.4,2,228,0,2559.0,$51-100,0.3799126637554585,False,4.477336814478207
"Green, sportive experience in A'dam",3375589,Noord-West,52.41878,4.89397,Entire Home,166.0,5,46,2025-06-10,0.32,1,348,7,22.0,$101 -200,0.47564469914040114,False,5.117993812416755
Nice Room near to RAI and downtown,2309485,De Pijp - Rivierenbuurt,52.34557,4.8962,Private Room,100.0,1,747,2025-06-10,5.64,1,237,73,22.0,$51-100,0.42016806722689076,False,4.61512051684126
Small Room in quiet zon near centre Amsterdam,3498674,Geuzenveld - Slotermeer,52.38296,4.83786,Private Room,69.0,4,432,2025-06-08,2.78,2,316,38,24.0,$51-100,0.21766561514195584,False,4.248495242049359
City beach apartment,2272095,Centrum-Oost,52.3737,4.92581,Entire Home,160.0,10,97,2025-04-26,0.66,1,51,6,67.0,$101 -200,3.076923076923077,False,5.081404364984463
2 rooms in beautiful appartment near Vondelpark,3548522,De Baarsjes - Oud-West,52.35925,4.8514,Entire Home,86.0,1,11,2018-09-02,0.08,3,93,0,2495.0,$51-100,0.9148936170212766,False,4.465908118654584
Quiet room in Amsterdam Center,3556421,Centrum-West,52.37276,4.89707,Private Room,223.0,2,766,2025-06-06,4.95,1,0,10,26.0,$201-500,223.0,False,5.4116460518550396
"Stylish Oasis Near City, Lake and Green",3564543,IJburg - Zeeburgereiland,52.36158,4.97639,Entire Home,233.0,6,27,2025-04-23,0.18,1,298,2,70.0,$201-500,0.7792642140468228,False,5.455321115357702
"Lovely house, centrally located!",680246,Bos en Lommer,52.37455544,4.839840069,Entire Home,223.0,2,0,,0.0,1,0,0,4197.0,$201-500,223.0,False,5.4116460518550396
Cosy and stylish flat in popular Oud-West,2302855,De Baarsjes - Oud-West,52.36706,4.86465,Entire Home,223.0,3,60,2023-08-29,0.39,1,0,0,673.0,$201-500,223.0,False,5.4116460518550396
Amsterdam OLD SOUTH Comfort apt 3,3601944,Zuid,52.35499,4.87262,Entire Home,223.0,7,14,2025-05-26,0.09,3,5,1,37.0,$201-500,37.166666666666664,False,5.4116460518550396
"Cozy and light in Bos en Lommer, 96 m²",3607736,Bos en Lommer,52.37449,4.84762,Entire Home,223.0,5,85,2020-01-05,0.55,2,0,0,2005.0,$201-500,223.0,False,5.4116460518550396
Independent Studio in 'De Pijp',3644216,De Pijp - Rivierenbuurt,52.35537,4.89477,Private Room,187.0,3,265,2025-05-22,2.31,1,18,16,41.0,$101 -200,9.842105263157896,False,5.236441962829949
Loft style home nearby city centre,3689867,De Baarsjes - Oud-West,52.36462,4.86824,Entire Home,223.0,3,174,2025-05-19,1.15,1,0,6,44.0,$201-500,223.0,False,5.4116460518550396
Beautiful loft in center Amsterdam,3775786,Centrum-Oost,52.36112,4.89632,Entire Home,476.0,3,148,2025-05-13,0.96,1,3,6,50.0,$201-500,119.0,True,6.1675164908883415
Superb loft apartment in de Pijp!,1902079,De Pijp - Rivierenbuurt,52.35258865,4.894248962,Entire Home,225.0,4,69,2025-05-26,0.45,1,185,6,37.0,$201-500,1.2096774193548387,False,5.420534999272286
Great location modern apartment,3788198,Centrum-West,52.38079,4.88536,Entire Home,143.0,5,105,2024-10-21,0.68,1,238,3,254.0,$101 -200,0.5983263598326359,False,4.969813299576001
Suite 2 Stay - studio Beautiful Barok - canal area,3788673,Centrum-Oost,52.36052,4.89568,Private Room,139.0,3,205,2025-06-16,2.05,2,127,39,16.0,$101 -200,1.0859375,False,4.941642422609304
Room with a view,3267693,Westerpark,52.3731,4.86859,Private Room,223.0,3,453,2024-09-29,2.96,1,0,8,276.0,$201-500,223.0,False,5.4116460518550396
FAMILY HOME WITH SUNNY PRIVATE GARDEN IN CENTER,3823268,Centrum-Oost,52.37098,4.9227,Entire Home,223.0,5,14,2023-08-22,0.09,1,0,0,680.0,$201-500,223.0,False,5.4116460518550396
Modern  stylish villa: My Amsterdam Houseboat,3877342,Westerpark,52.37654,4.87003,Entire Home,687.0,2,85,2025-06-09,0.56,3,261,13,23.0,$500+,2.622137404580153,True,6.5337888379333435
Historical sailing ship in the center of Amsterdam,1582128,Centrum-Oost,52.36865675,4.920713033,Entire Home,854.0,2,151,2025-05-18,1.0,2,281,14,45.0,$500+,3.028368794326241,True,6.75110146893676
Private luxury B&B near Amstel,3518386,Oud-Oost,52.35659,4.90827,Private Room,143.0,2,352,2025-06-01,2.29,1,254,54,31.0,$101 -200,0.5607843137254902,False,4.969813299576001
Beautiful apartment in canal house,3713242,Centrum-West,52.38295,4.88726,Entire Home,223.0,5,91,2024-06-04,0.61,1,0,0,393.0,$201-500,223.0,False,5.4116460518550396
nice cozy room near Vondelpark,3548522,De Baarsjes - Oud-West,52.36131,4.8519,Private Room,60.0,2,40,2018-06-23,0.29,3,2,0,2566.0,$51-100,20.0,False,4.110873864173311
"Light, quiet, cozy, central",3703205,Oud-Oost,52.35206604,4.915624142,Entire Home,223.0,1,32,2024-09-10,0.21,1,0,4,295.0,$201-500,223.0,False,5.4116460518550396
Canal house - Heart of Amsterdam,3970753,Centrum-Oost,52.37266,4.90456,Entire Home,386.0,3,490,2025-06-16,3.26,1,153,62,16.0,$201-500,2.5064935064935066,True,5.958424693029782
A special spot near the Jordaan ideal for two,3975477,De Baarsjes - Oud-West,52.37066,4.87405,Private Room,129.0,3,368,2025-06-09,2.57,1,208,64,23.0,$101 -200,0.6172248803827751,False,4.867534450455582
"Central apartment 50m2, Old West Jordaan.",1387938,De Baarsjes - Oud-West,52.36827,4.87107,Entire Home,223.0,6,39,2020-07-11,0.26,1,0,0,1817.0,$201-500,223.0,False,5.4116460518550396
Spacious delightful Canalhouse,4000086,Centrum-West,52.36754,4.88733,Entire Home,223.0,3,106,2021-08-20,0.7,1,0,0,1412.0,$201-500,223.0,False,5.4116460518550396
beautiful spacious appartment near Vondelpark,3548522,De Baarsjes - Oud-West,52.36115,4.85209,Entire Home,300.0,3,17,2025-05-04,0.13,3,164,4,59.0,$201-500,1.8181818181818181,False,5.707110264748875
